iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
499	111917	126000	48872	55394	56433
500	111922	126000	48874	55393	56433
501	111923	126000	48876	55396	56433
502	111925	126000	48877	55396	56433
503	111921	126000	48873	55392	56433
504	111921	126000	48873	55392	56433
505	111922	126000	48873	55391	56433
506	111918	126000	48870	55389	56433
507	111919	126000	48871	55390	56433
508	111920	126000	48870	55387	56433
509	111920	126000	48871	55389	56433
510	111918	126000	48871	55391	56433
511	111916	126000	48870	55391	56433
512	111920	126000	48872	55391	56433
513	111920	126000	48872	55391	56433
514	111921	126000	48872	55390	56433
515	111921	126000	48871	55388	56433
516	111921	126000	48872	55390	56433
517	111921	126000	48872	55390	56433
518	111925	126000	48872	55386	56433
519	111927	126000	48874	55388	56433
520	111928	126000	48874	55387	56433
521	111929	126000	48874	55386	56433
522	111931	126000	48874	55384	56433
523	111930	126000	48874	55385	56433
524	111929	126000	48874	55386	56433
525	111928	126000	48875	55389	56433
526	111926	126000	48872	55385	56433
527	111927	126000	48873	55386	56433
528	111927	126000	48874	55388	56433
529	111927	126000	48874	55388	56433
530	111927	126000	48873	55386	56433
531	111928	126000	48873	55385	56433
532	111923	126000	48870	55384	56433
533	111923	126000	48871	55386	56433
534	111924	126000	48873	55389	56433
535	111925	126000	48873	55388	56433
536	111925	126000	48874	55390	56433
537	111926	126000	48875	55391	56433
538	111924	126000	48872	55387	56433
539	111925	126000	48872	55386	56433
540	111923	126000	48873	55390	56433
541	111925	126000	48872	55386	56433
542	111921	126000	48872	55390	56433
543	111923	126000	48873	55390	56433
544	111923	126000	48872	55388	56433
545	111929	126000	48875	55388	56433
546	111933	126000	48876	55386	56433
547	111934	126000	48876	55385	56433
548	111934	126000	48877	55387	56433
549	111934	126000	48876	55385	56433
550	111937	126000	48879	55388	56433
551	111937	126000	48878	55386	56433
552	111938	126000	48879	55387	56433
553	111937	126000	48877	55384	56433
554	111940	126000	48879	55385	56433
555	111938	126000	48879	55387	56433
556	111940	126000	48881	55389	56433
557	111943	126000	48885	55394	56433
558	111942	126000	48885	55395	56433
559	111939	126000	48882	55392	56433
560	111940	126000	48881	55389	56433
561	111941	126000	48882	55390	56433
562	111943	126000	48883	55390	56433
563	111942	126000	48885	55395	56433
564	111943	126000	48884	55392	56433
565	111944	126000	48885	55393	56433
566	111945	126000	48886	55394	56433
567	111945	126000	48885	55392	56433
568	111943	126000	48883	55390	56433
569	111944	126000	48883	55389	56433
570	111946	126000	48884	55389	56433
571	111944	126000	48885	55393	56433
572	111944	126000	48887	55397	56433
573	111945	126000	48889	55400	56433
574	111945	126000	48889	55400	56433
575	111944	126000	48889	55401	56433
576	111945	126000	48889	55400	56433
577	111946	126000	48888	55397	56433
578	111948	126000	48889	55397	56433
579	111948	126000	48889	55397	56433
580	111946	126000	48888	55397	56433
581	111947	126000	48888	55396	56433
582	111947	126000	48888	55396	56433
583	111949	126000	48889	55396	56433
584	111948	126000	48887	55393	56433
585	111951	126000	48888	55392	56433
586	111951	126000	48888	55392	56433
587	111951	126000	48888	55392	56433
588	111951	126000	48889	55394	56433
589	111951	126000	48888	55392	56433
590	111956	126000	48889	55389	56433
591	111955	126000	48889	55390	56433
592	111956	126000	48890	55391	56433
593	111956	126000	48890	55391	56433
594	111956	126000	48889	55389	56433
595	111958	126000	48890	55389	56433
596	111957	126000	48889	55388	56433
597	111956	126000	48889	55389	56433
598	111955	126000	48889	55390	56433
599	111956	126000	48890	55391	56433
600	111955	126000	48890	55392	56433
601	111952	126000	48888	55391	56433
602	111953	126000	48888	55390	56433
603	111953	126000	48887	55388	56433
604	111954	126000	48889	55391	56433
605	111954	126000	48889	55391	56433
606	111953	126000	48890	55394	56433
607	111955	126000	48891	55394	56433
608	111954	126000	48887	55387	56433
609	111955	126000	48887	55386	56433
610	111956	126000	48888	55387	56433
611	111953	126000	48887	55388	56433
612	111954	126000	48889	55391	56433
613	111956	126000	48891	55393	56433
614	111960	126000	48891	55389	56433
615	111957	126000	48891	55392	56433
616	111958	126000	48891	55391	56433
617	111959	126000	48891	55390	56433
618	111956	126000	48890	55391	56433
619	111956	126000	48890	55391	56433
620	111953	126000	48888	55390	56433
621	111953	126000	48887	55388	56433
622	111955	126000	48888	55388	56433
623	111956	126000	48889	55389	56433
624	111954	126000	48887	55387	56433
625	111957	126000	48887	55384	56433
626	111952	126000	48886	55387	56433
627	111953	126000	48884	55382	56433
628	111955	126000	48885	55382	56433
629	111952	126000	48884	55383	56433
630	111952	126000	48884	55383	56433
631	111952	126000	48884	55383	56433
632	111956	126000	48885	55381	56433
633	111957	126000	48886	55382	56433
634	111958	126000	48888	55385	56433
635	111961	126000	48890	55386	56433
636	111960	126000	48888	55383	56433
637	111959	126000	48889	55386	56433
638	111962	126000	48890	55385	56433
639	111963	126000	48890	55384	56433
640	111959	126000	48887	55382	56433
641	111962	126000	48888	55381	56433
642	111961	126000	48888	55382	56433
643	111961	126000	48886	55378	56433
644	111961	126000	48886	55378	56433
645	111963	126000	48887	55378	56433
646	111962	126000	48887	55379	56433
647	111965	126000	48888	55378	56433
648	111966	126000	48889	55379	56433
649	111966	126000	48889	55379	56433
650	111966	126000	48889	55379	56433
651	111966	126000	48889	55379	56433
652	111963	126000	48887	55378	56433
